material_type,weight_kg,quality,location,demand_level,historical_price,processing_cost,transportation_distance,month,seller_type,buyer_demand,material_condition,price_per_kg
E-waste,1576.4,High,Mumbai,High,125.85,9.46,48.1,1,Industrial Recycler,0.74,Baled,180.37
Copper,1328.9,High,Chennai,Moderate,619.81,8.18,121.2,10,Industrial Recycler,0.86,Baled,781.69
Paper,51.1,Low,Hyderabad,Low,11.91,10.12,63.3,7,Industrial Recycler,0.83,Mixed,4.8
Steel,73.5,High,Hyderabad,High,41.78,11.65,144.5,11,Municipal Collector,0.96,Baled,48.41
Cardboard,352.6,Industrial Grade,Kolkata,Low,13.22,3.92,57.8,4,Business,0.78,Baled,12.92
Paper,203.6,Industrial Grade,Hyderabad,Moderate,11.35,5.73,43.7,7,Business,0.78,Mixed,8.89
Plastic,832.3,Industrial Grade,Hyderabad,High,34.8,12.75,40.6,1,Individual,0.69,Contaminated,28.23
Textile,491.2,Industrial Grade,Mumbai,High,27.0,12.27,9.2,3,Individual,0.69,Clean,39.05
Aluminum,649.7,Industrial Grade,Pune,High,193.11,2.83,48.2,10,Business,0.93,Clean,294.33
Copper,85.0,Industrial Grade,Surat,High,667.08,3.57,77.5,12,Business,0.71,Contaminated,627.51
Cardboard,119.9,Low,Surat,High,14.74,6.07,117.1,2,Individual,0.82,Mixed,6.02
Plastic,392.4,Industrial Grade,Bengaluru,High,33.62,7.71,145.6,4,Business,0.71,Contaminated,27.54
E-waste,637.3,Low,Ahmedabad,Moderate,125.46,5.61,40.7,11,Municipal Collector,0.4,Clean,109.17
E-waste,168.2,Low,Coimbatore,High,115.26,10.73,138.0,12,Business,0.57,Sorted,98.73
Glass,1667.4,High,Delhi,High,8.61,7.11,136.9,1,Municipal Collector,0.48,Baled,6.02
Copper,419.5,Medium,Ahmedabad,High,665.02,12.56,51.0,11,Individual,0.85,Sorted,781.99
Paper,42.2,High,Pune,Moderate,11.23,13.94,66.2,12,Municipal Collector,0.41,Mixed,4.8
Paper,480.2,High,Ahmedabad,Moderate,12.27,2.68,9.0,12,Industrial Recycler,0.74,Sorted,13.91
Steel,875.2,High,Pune,High,42.11,4.05,16.9,10,Industrial Recycler,0.98,Mixed,46.97
Steel,139.2,Industrial Grade,Bengaluru,Moderate,40.84,9.71,30.2,5,Municipal Collector,0.5,Sorted,50.27
Copper,492.1,Industrial Grade,Delhi,High,694.0,14.33,37.6,10,Municipal Collector,0.75,Sorted,1029.26
Plastic,1171.4,High,Bengaluru,High,33.66,7.58,63.2,1,Industrial Recycler,0.36,Mixed,36.16
Glass,238.0,Medium,Kolkata,High,8.42,14.07,117.1,7,Business,0.65,Baled,3.2
Plastic,180.7,Medium,Ahmedabad,Moderate,35.56,13.13,23.9,7,Industrial Recycler,1.0,Contaminated,18.31
Paper,884.7,Medium,Bengaluru,High,12.23,5.4,47.1,1,Municipal Collector,0.94,Mixed,9.85
Glass,70.2,Industrial Grade,Bengaluru,High,7.63,7.17,146.3,6,Municipal Collector,0.57,Clean,4.29
Textile,508.9,Low,Coimbatore,High,27.35,8.12,140.0,6,Business,0.72,Clean,21.51
Other,112.0,High,Mumbai,Moderate,15.94,3.72,102.3,7,Municipal Collector,0.33,Clean,14.97
Steel,687.6,Low,Pune,Low,42.2,6.13,24.1,8,Municipal Collector,0.4,Contaminated,17.46
Copper,70.3,Low,Mumbai,High,691.89,7.59,57.3,12,Municipal Collector,0.48,Clean,678.89
Paper,32.0,Low,Ahmedabad,High,12.26,14.0,85.6,3,Industrial Recycler,0.61,Mixed,4.8
Plastic,415.6,Medium,Coimbatore,High,34.64,11.18,42.7,8,Individual,1.0,Clean,37.98
E-waste,151.9,High,Ahmedabad,Moderate,113.24,11.36,21.3,8,Municipal Collector,0.54,Mixed,113.31
Plastic,363.4,Low,Surat,High,37.64,9.59,89.9,11,Industrial Recycler,0.67,Contaminated,16.06
Other,2222.6,Medium,Ahmedabad,High,14.48,6.27,18.7,11,Individual,0.99,Mixed,12.21
Copper,279.0,Industrial Grade,Pune,Low,671.6,7.98,9.2,3,Business,0.64,Sorted,799.7
Paper,299.5,High,Pune,High,12.57,13.79,150.0,12,Municipal Collector,0.39,Sorted,7.54
Aluminum,2389.7,Low,Kolkata,High,170.73,7.19,60.3,10,Business,0.98,Sorted,164.36
Textile,88.7,High,Delhi,High,28.69,11.78,46.3,7,Individual,0.38,Clean,34.02
E-waste,451.8,Industrial Grade,Pune,Low,114.24,6.78,18.9,11,Individual,0.61,Sorted,128.81
Textile,180.2,Industrial Grade,Chennai,Low,27.7,9.98,122.6,7,Municipal Collector,0.6,Sorted,23.55
Aluminum,239.2,Low,Bengaluru,Low,168.02,10.41,81.5,8,Individual,0.63,Mixed,96.09
Copper,56.0,Industrial Grade,Mumbai,High,602.96,5.84,80.8,4,Individual,0.35,Sorted,885.59
Aluminum,825.6,High,Chennai,Moderate,172.9,9.39,100.8,8,Municipal Collector,0.48,Baled,210.17
Copper,153.1,High,Bengaluru,Low,641.29,2.59,127.2,3,Municipal Collector,0.79,Clean,749.29
Glass,546.2,Industrial Grade,Pune,Low,8.62,3.02,35.6,3,Industrial Recycler,0.48,Mixed,6.79
Copper,400.7,Industrial Grade,Delhi,High,645.86,10.53,6.9,2,Business,0.58,Baled,1006.41
Other,573.6,Industrial Grade,Delhi,Low,14.26,3.76,17.7,5,Industrial Recycler,0.87,Sorted,14.82
Plastic,2589.7,High,Hyderabad,Moderate,35.22,13.16,127.1,7,Individual,0.36,Contaminated,20.92
E-waste,675.9,Medium,Chennai,Moderate,118.95,11.6,135.9,3,Business,0.64,Mixed,109.88
Aluminum,332.9,Industrial Grade,Mumbai,High,175.21,7.09,125.3,10,Individual,0.37,Baled,257.18
Textile,1600.6,Industrial Grade,Coimbatore,Low,29.01,8.67,63.0,8,Industrial Recycler,0.95,Mixed,23.58
E-waste,116.4,Medium,Delhi,Low,127.54,2.83,50.8,10,Business,0.59,Clean,115.53
E-waste,403.7,High,Ahmedabad,Low,124.34,4.1,68.3,12,Industrial Recycler,0.63,Mixed,113.82
E-waste,70.8,Medium,Surat,High,116.03,3.71,100.3,12,Industrial Recycler,0.8,Baled,138.82
Textile,233.5,Low,Mumbai,High,26.34,10.67,113.6,12,Individual,0.44,Mixed,13.71
Other,566.7,Industrial Grade,Mumbai,Moderate,13.84,2.61,35.4,4,Municipal Collector,0.92,Clean,17.85
Glass,102.7,Medium,Chennai,Low,7.51,10.03,67.4,6,Business,0.46,Contaminated,3.2
Paper,2465.3,Low,Bengaluru,High,11.24,9.86,131.7,12,Industrial Recycler,0.34,Sorted,4.8
E-waste,942.7,Industrial Grade,Kolkata,High,112.67,4.17,78.6,1,Business,0.44,Clean,180.82
Glass,388.0,Medium,Kolkata,Low,8.19,3.29,111.2,8,Municipal Collector,0.53,Sorted,3.2
Steel,723.8,High,Coimbatore,Moderate,40.57,8.16,126.0,4,Municipal Collector,0.42,Contaminated,27.8
Paper,88.3,Low,Bengaluru,Moderate,12.58,4.97,66.1,9,Individual,0.59,Mixed,4.92
Textile,636.8,Industrial Grade,Coimbatore,Low,29.37,2.13,26.1,8,Industrial Recycler,0.96,Baled,33.77
Copper,38.4,Low,Delhi,Moderate,693.94,2.48,62.0,1,Individual,0.41,Sorted,565.05
Other,243.3,High,Delhi,Moderate,15.53,13.36,106.6,11,Municipal Collector,0.52,Baled,10.48
Glass,65.9,High,Delhi,Low,8.16,13.54,98.4,8,Individual,0.73,Sorted,3.2
E-waste,202.3,Low,Chennai,High,124.2,7.07,82.9,1,Industrial Recycler,0.92,Mixed,99.29
Cardboard,272.9,Low,Kolkata,High,12.94,4.08,114.8,6,Industrial Recycler,0.86,Contaminated,5.6
Other,382.5,Low,Kolkata,Moderate,14.42,12.94,111.1,2,Municipal Collector,0.66,Contaminated,6.0
Copper,1279.1,High,Surat,Moderate,622.55,6.41,5.8,12,Industrial Recycler,0.82,Clean,822.92
Other,973.3,Medium,Surat,Moderate,15.57,6.91,25.3,11,Industrial Recycler,0.37,Sorted,13.22
Cardboard,136.9,Medium,Bengaluru,Moderate,13.09,7.36,66.7,12,Business,0.6,Sorted,8.75
Steel,1071.8,Industrial Grade,Pune,Moderate,42.13,9.65,81.3,11,Business,0.58,Contaminated,32.49
Paper,1032.7,Industrial Grade,Delhi,Moderate,12.41,3.65,25.9,3,Municipal Collector,0.39,Mixed,12.86
Cardboard,201.7,High,Coimbatore,Moderate,14.94,9.27,27.7,12,Municipal Collector,0.38,Contaminated,7.8
Textile,62.2,High,Coimbatore,Moderate,30.2,6.83,27.2,9,Industrial Recycler,0.51,Clean,32.54
E-waste,613.6,High,Coimbatore,High,126.13,4.8,133.9,5,Municipal Collector,0.64,Contaminated,112.28
Copper,232.4,Low,Ahmedabad,High,633.13,7.88,49.9,10,Municipal Collector,0.56,Clean,612.71
Other,884.3,Medium,Ahmedabad,Low,14.58,13.26,70.1,11,Municipal Collector,0.86,Contaminated,6.0
Other,91.1,Industrial Grade,Pune,High,14.86,10.72,11.6,9,Municipal Collector,0.49,Mixed,14.24
Copper,743.7,Medium,Kolkata,Low,618.01,9.27,22.9,11,Industrial Recycler,0.73,Clean,601.5
Other,116.1,High,Ahmedabad,Low,16.05,3.56,135.0,9,Individual,0.43,Baled,10.83
Aluminum,99.1,Low,Chennai,High,166.9,7.22,93.0,9,Municipal Collector,0.9,Contaminated,96.08
Aluminum,249.1,Low,Coimbatore,High,168.9,5.34,51.0,9,Municipal Collector,0.37,Mixed,132.37
Steel,303.3,Low,Chennai,High,39.78,7.29,49.5,3,Industrial Recycler,0.73,Contaminated,21.84
Glass,206.8,Medium,Mumbai,Low,8.5,3.85,19.3,7,Business,0.48,Clean,5.63
Copper,75.8,High,Ahmedabad,High,609.97,7.01,114.1,9,Individual,0.34,Contaminated,528.47
E-waste,532.0,Industrial Grade,Delhi,Moderate,115.57,13.52,38.9,11,Business,0.97,Clean,155.79
Copper,545.2,Medium,Mumbai,Low,664.12,3.09,64.0,10,Individual,0.44,Baled,613.07
Steel,102.5,Low,Kolkata,High,38.92,9.22,144.4,7,Individual,0.87,Baled,28.51
Other,2656.0,Low,Ahmedabad,High,14.71,12.91,91.7,5,Business,0.55,Contaminated,6.0
Plastic,49.8,Low,Mumbai,High,32.98,3.6,62.3,2,Business,0.69,Clean,29.24
Paper,84.7,Industrial Grade,Pune,Low,11.91,11.79,42.9,11,Industrial Recycler,0.47,Contaminated,4.8
Glass,200.7,Low,Coimbatore,Moderate,8.14,13.99,24.4,12,Industrial Recycler,0.3,Contaminated,3.2
Aluminum,52.2,Medium,Delhi,Low,184.36,13.4,16.8,9,Municipal Collector,0.68,Mixed,131.91
E-waste,376.1,High,Delhi,Moderate,129.29,12.55,126.7,3,Industrial Recycler,0.39,Sorted,152.0
Glass,508.9,Medium,Coimbatore,High,7.61,11.22,103.7,5,Individual,0.87,Mixed,3.2
Paper,394.4,Medium,Coimbatore,Moderate,12.2,11.15,76.5,5,Industrial Recycler,0.3,Contaminated,4.8
Textile,1108.4,High,Bengaluru,Low,28.77,11.6,33.1,9,Municipal Collector,0.72,Sorted,25.14
Steel,318.7,High,Bengaluru,High,44.56,13.12,140.4,5,Business,0.81,Baled,54.3
Paper,287.3,Medium,Kolkata,Low,12.33,7.55,5.3,8,Industrial Recycler,0.76,Clean,8.38
Glass,898.8,Industrial Grade,Kolkata,Moderate,7.42,8.72,76.9,8,Business,0.8,Mixed,3.2
Aluminum,25.5,Low,Pune,Low,190.95,6.35,61.8,1,Municipal Collector,0.87,Mixed,118.24
Plastic,289.1,Industrial Grade,Bengaluru,High,32.74,10.14,50.1,6,Individual,0.64,Clean,45.52
Aluminum,170.4,Low,Ahmedabad,High,189.26,12.82,144.0,4,Business,0.66,Sorted,174.87
Plastic,734.2,High,Chennai,Low,37.66,3.62,69.7,11,Municipal Collector,0.94,Baled,38.48
Textile,141.2,Low,Ahmedabad,High,26.05,10.14,48.7,1,Business,0.77,Clean,20.07
Cardboard,26.1,High,Chennai,Moderate,14.22,5.03,114.0,10,Municipal Collector,0.76,Sorted,10.62
Aluminum,417.0,Industrial Grade,Surat,Moderate,185.06,10.46,19.7,10,Municipal Collector,0.32,Mixed,202.93
Cardboard,322.9,Low,Chennai,High,14.65,2.88,91.3,1,Business,0.44,Baled,10.46
Other,216.3,Medium,Delhi,Moderate,14.38,7.78,110.1,8,Industrial Recycler,0.86,Baled,8.9
Aluminum,688.5,Medium,Kolkata,Low,191.09,6.05,114.4,11,Municipal Collector,0.84,Sorted,165.61
Steel,270.8,Industrial Grade,Mumbai,Low,43.06,8.73,145.7,6,Industrial Recycler,0.4,Sorted,42.36
Plastic,327.6,High,Hyderabad,Moderate,34.11,12.21,136.7,11,Individual,0.77,Mixed,26.71
E-waste,1574.3,Low,Surat,Low,119.12,4.11,65.7,5,Industrial Recycler,0.85,Baled,93.21
Aluminum,793.0,Industrial Grade,Hyderabad,High,186.76,5.11,95.5,8,Individual,0.97,Contaminated,183.89
Glass,307.8,Industrial Grade,Coimbatore,Moderate,8.07,6.65,6.4,6,Individual,0.4,Contaminated,4.17
E-waste,167.0,Medium,Coimbatore,Moderate,127.4,4.26,33.7,4,Business,0.8,Baled,139.5
Glass,527.0,Medium,Bengaluru,High,8.23,2.27,137.0,5,Business,0.57,Contaminated,3.2
Copper,558.5,Low,Hyderabad,Moderate,695.88,10.59,122.4,6,Municipal Collector,0.98,Contaminated,397.02
Other,495.9,Industrial Grade,Bengaluru,High,14.7,6.92,32.8,4,Individual,0.72,Clean,20.36
Plastic,54.5,High,Kolkata,Low,32.5,6.26,119.5,5,Individual,0.86,Baled,28.75
Steel,688.6,Industrial Grade,Ahmedabad,Low,41.25,4.18,94.2,11,Business,0.92,Contaminated,27.89
Cardboard,378.9,Low,Bengaluru,Low,13.96,8.83,108.3,6,Municipal Collector,0.97,Mixed,5.6
E-waste,64.3,Low,Hyderabad,Moderate,114.9,7.88,134.8,4,Business,0.45,Baled,94.09
Textile,650.0,Industrial Grade,Mumbai,High,27.08,11.77,17.3,9,Industrial Recycler,0.66,Baled,35.33
Plastic,195.9,High,Delhi,Low,36.71,7.32,72.8,8,Industrial Recycler,0.52,Mixed,28.74
Textile,235.2,High,Mumbai,Moderate,27.08,13.72,16.0,11,Individual,0.65,Contaminated,16.2
Cardboard,122.4,High,Chennai,High,13.63,9.1,57.2,2,Business,0.77,Sorted,13.95
Paper,115.6,Low,Kolkata,High,12.62,5.89,6.2,5,Individual,0.85,Sorted,9.61
Textile,742.8,Industrial Grade,Ahmedabad,Low,26.43,11.9,79.3,11,Business,0.58,Baled,24.47
Plastic,174.0,Medium,Ahmedabad,High,33.25,6.07,119.8,6,Municipal Collector,0.84,Mixed,28.24
Textile,260.6,Medium,Pune,Moderate,29.99,3.67,88.7,3,Business,0.31,Mixed,24.87
Glass,135.1,Low,Delhi,Moderate,7.39,6.24,83.0,12,Municipal Collector,0.85,Contaminated,3.2
Steel,765.0,Medium,Delhi,Low,41.24,2.83,142.6,4,Municipal Collector,0.63,Sorted,34.29
Glass,536.3,Industrial Grade,Chennai,High,8.24,2.42,85.2,11,Individual,0.64,Sorted,8.66
Steel,1748.7,Medium,Hyderabad,Moderate,41.7,8.82,47.2,4,Industrial Recycler,0.56,Clean,44.49
Aluminum,821.5,Medium,Bengaluru,Moderate,187.0,7.44,23.7,2,Municipal Collector,0.57,Sorted,210.37
Plastic,709.3,Medium,Ahmedabad,Moderate,35.49,14.21,92.5,3,Municipal Collector,0.65,Contaminated,19.26
E-waste,855.0,Low,Ahmedabad,High,115.14,9.86,124.6,2,Individual,0.53,Contaminated,67.12
Other,226.4,Industrial Grade,Chennai,Moderate,14.63,13.95,98.7,5,Business,0.89,Mixed,8.51
Paper,1336.1,Industrial Grade,Hyderabad,High,11.92,11.53,135.5,3,Municipal Collector,0.94,Baled,10.58
Steel,302.9,High,Hyderabad,Low,40.6,10.17,44.7,3,Business,0.94,Mixed,32.34
Plastic,309.4,Industrial Grade,Pune,Low,36.57,8.56,114.5,2,Business,0.59,Mixed,31.42
Steel,157.7,Low,Ahmedabad,Low,43.68,11.03,15.6,1,Business,0.57,Contaminated,17.27
Textile,84.8,Medium,Mumbai,High,28.76,3.77,107.8,2,Business,0.62,Mixed,25.03
E-waste,539.0,High,Ahmedabad,Low,113.5,5.63,73.3,3,Individual,0.89,Clean,129.1
Other,188.4,High,Kolkata,Moderate,15.63,3.01,61.7,12,Business,0.77,Contaminated,9.76
Steel,957.1,Industrial Grade,Coimbatore,High,38.96,7.75,82.2,11,Individual,0.74,Sorted,53.28
Cardboard,1276.2,High,Ahmedabad,Low,13.73,2.63,91.7,1,Industrial Recycler,0.44,Mixed,9.69
Plastic,328.6,Low,Coimbatore,High,36.79,2.19,9.1,7,Business,0.78,Contaminated,21.48
Copper,942.6,Medium,Bengaluru,Low,632.02,3.4,65.3,1,Individual,0.69,Clean,653.41
Plastic,553.8,Medium,Chennai,Moderate,33.17,6.64,36.0,4,Municipal Collector,0.58,Baled,34.63
Glass,117.7,High,Hyderabad,High,8.16,5.62,100.4,2,Municipal Collector,0.33,Mixed,4.52
Plastic,1405.4,Industrial Grade,Chennai,Low,36.96,14.88,82.7,12,Municipal Collector,0.42,Sorted,36.24
Copper,42.1,Low,Pune,Low,631.07,13.49,97.1,3,Individual,0.9,Mixed,396.12
E-waste,667.3,High,Delhi,High,121.68,5.02,97.9,9,Municipal Collector,0.99,Sorted,159.74
Plastic,871.3,High,Hyderabad,High,32.64,5.17,67.1,12,Industrial Recycler,0.4,Baled,43.05
E-waste,938.5,Low,Hyderabad,High,121.88,14.0,10.5,11,Municipal Collector,0.96,Contaminated,68.73
Glass,679.9,Medium,Kolkata,Moderate,7.39,5.75,99.0,7,Business,0.89,Sorted,3.2
Glass,375.0,Low,Hyderabad,High,8.48,4.89,106.0,11,Business,0.67,Contaminated,3.2
Steel,196.6,Industrial Grade,Chennai,High,44.95,14.9,12.6,4,Municipal Collector,0.39,Clean,67.04
Steel,1053.1,Medium,Delhi,Low,39.97,4.13,72.7,12,Business,0.6,Contaminated,22.32
Other,525.7,Medium,Hyderabad,Moderate,16.08,8.26,130.1,5,Municipal Collector,0.55,Sorted,10.24
Textile,329.5,Medium,Kolkata,Moderate,29.43,11.88,111.6,10,Municipal Collector,0.86,Mixed,18.5
Aluminum,24.7,Industrial Grade,Surat,High,173.01,11.45,27.2,9,Industrial Recycler,0.62,Mixed,203.9
E-waste,2422.4,Low,Chennai,Low,113.37,8.1,24.8,6,Municipal Collector,0.43,Mixed,69.6
Aluminum,72.2,Low,Delhi,Moderate,184.06,8.36,59.1,12,Municipal Collector,0.71,Mixed,131.29
Textile,134.1,High,Hyderabad,Moderate,29.13,12.03,143.8,7,Individual,0.54,Clean,27.12
E-waste,424.9,Low,Delhi,Low,128.09,8.21,40.8,12,Municipal Collector,0.55,Clean,98.91
Aluminum,124.1,Medium,Bengaluru,Low,184.68,9.52,40.9,5,Municipal Collector,0.41,Sorted,174.03
Copper,239.6,High,Kolkata,Moderate,642.39,4.16,132.0,4,Business,0.78,Mixed,690.49
Cardboard,22.6,Industrial Grade,Chennai,Moderate,13.65,12.1,97.2,2,Municipal Collector,0.4,Baled,11.07
Plastic,735.6,Industrial Grade,Ahmedabad,High,34.54,12.06,19.0,1,Individual,0.59,Sorted,46.91
Paper,100.6,Industrial Grade,Bengaluru,High,12.01,8.32,24.5,12,Industrial Recycler,0.38,Contaminated,7.44
Other,202.4,Medium,Bengaluru,High,14.78,13.73,42.6,4,Business,0.74,Contaminated,6.0
Other,660.2,High,Chennai,High,13.87,2.84,23.1,7,Industrial Recycler,0.46,Contaminated,10.26
E-waste,1106.6,High,Coimbatore,High,112.26,14.84,89.5,11,Industrial Recycler,0.67,Clean,150.51
Aluminum,286.0,Industrial Grade,Ahmedabad,Low,175.29,9.86,114.8,8,Industrial Recycler,0.78,Baled,204.39
Glass,614.7,Low,Delhi,Moderate,7.78,6.63,13.3,10,Municipal Collector,0.37,Contaminated,3.2
E-waste,68.8,Industrial Grade,Kolkata,High,115.17,11.77,142.9,5,Business,0.62,Contaminated,103.45
E-waste,463.6,Industrial Grade,Coimbatore,High,125.91,2.59,57.2,11,Industrial Recycler,0.53,Contaminated,127.34
E-waste,53.5,Medium,Surat,Moderate,128.48,14.21,55.5,2,Municipal Collector,0.63,Baled,132.76
Copper,453.7,Industrial Grade,Bengaluru,Low,672.53,12.2,132.1,9,Individual,0.32,Sorted,788.62
E-waste,482.5,High,Bengaluru,Low,120.78,8.27,143.5,8,Municipal Collector,0.47,Sorted,125.34
Steel,584.2,High,Bengaluru,Moderate,40.12,11.96,135.9,6,Business,0.48,Clean,42.92
E-waste,891.6,High,Chennai,Low,121.46,4.91,53.3,12,Municipal Collector,0.95,Contaminated,87.74
Copper,364.8,Low,Kolkata,Low,610.03,4.91,122.2,7,Municipal Collector,0.36,Mixed,398.15
Copper,635.0,Low,Surat,High,637.54,6.07,23.5,6,Business,0.82,Baled,625.17
Paper,797.0,High,Delhi,Low,12.34,6.75,51.3,7,Individual,0.86,Baled,8.86
Cardboard,99.8,Medium,Kolkata,Moderate,13.54,12.61,50.8,8,Business,0.45,Clean,8.16
E-waste,218.9,Medium,Coimbatore,Moderate,123.62,8.53,51.4,10,Individual,0.49,Baled,124.83
Other,144.6,Industrial Grade,Delhi,Moderate,15.79,6.33,147.3,1,Industrial Recycler,0.45,Contaminated,7.12
Plastic,475.9,High,Mumbai,Moderate,32.32,4.07,137.3,11,Municipal Collector,0.57,Contaminated,20.71
Textile,293.4,Industrial Grade,Chennai,Moderate,29.9,5.67,110.4,9,Municipal Collector,0.79,Sorted,33.52
Cardboard,525.5,Industrial Grade,Surat,High,13.9,11.22,128.2,1,Industrial Recycler,0.41,Clean,13.92
Steel,283.7,Industrial Grade,Hyderabad,Moderate,43.02,4.54,121.6,4,Individual,0.55,Mixed,45.31
Other,935.7,High,Bengaluru,Moderate,14.23,14.66,18.9,1,Municipal Collector,0.34,Contaminated,6.01
Cardboard,463.1,Low,Delhi,Moderate,13.97,5.13,9.9,4,Individual,0.78,Baled,9.82
Steel,122.0,Industrial Grade,Mumbai,Moderate,39.45,6.78,99.7,11,Municipal Collector,0.36,Clean,46.73
E-waste,33.3,Medium,Mumbai,Low,113.88,12.33,113.1,12,Municipal Collector,0.64,Clean,96.99
Textile,32.2,Low,Pune,High,28.17,13.21,108.5,2,Business,0.58,Baled,18.58
Aluminum,385.0,Industrial Grade,Chennai,Low,189.18,9.01,126.4,9,Municipal Collector,0.76,Baled,218.49
Plastic,197.4,High,Coimbatore,Low,32.42,6.09,69.8,9,Individual,0.7,Contaminated,18.73
Steel,942.4,High,Chennai,Moderate,42.3,6.73,78.4,2,Business,0.6,Baled,50.79
Aluminum,123.0,Medium,Kolkata,High,174.61,8.38,25.3,8,Industrial Recycler,0.94,Sorted,195.92
Glass,349.8,Medium,Hyderabad,Low,8.43,5.9,32.3,1,Business,0.97,Clean,5.36
Other,91.6,Medium,Bengaluru,Moderate,14.41,2.97,95.2,12,Industrial Recycler,0.57,Baled,11.56
Steel,363.0,Industrial Grade,Delhi,High,42.87,4.65,25.8,12,Industrial Recycler,0.49,Mixed,52.27
Plastic,307.1,Low,Delhi,Low,34.32,12.24,50.9,3,Individual,0.97,Baled,21.61
Plastic,106.5,High,Kolkata,High,34.23,10.32,14.6,7,Business,0.53,Sorted,41.63
Paper,491.1,Medium,Chennai,Moderate,12.87,4.89,147.0,7,Business,0.85,Contaminated,4.8
Copper,554.9,Medium,Surat,Low,657.5,6.54,18.9,8,Industrial Recycler,0.5,Baled,616.13
Paper,1588.8,High,Delhi,High,12.9,11.64,55.1,3,Industrial Recycler,0.67,Clean,13.19
Other,161.8,Industrial Grade,Mumbai,Low,15.38,11.27,104.6,1,Individual,0.4,Mixed,7.67
Other,1203.6,Low,Hyderabad,Low,14.24,11.19,93.3,11,Industrial Recycler,0.99,Clean,6.0
E-waste,732.3,Low,Mumbai,Moderate,118.21,14.32,129.4,11,Individual,0.52,Sorted,89.37
Copper,318.7,High,Chennai,Low,627.73,3.1,88.4,3,Individual,0.95,Clean,723.51
Aluminum,52.4,Industrial Grade,Ahmedabad,Low,191.18,14.97,79.7,8,Individual,0.79,Baled,210.31
Textile,1204.6,High,Delhi,High,30.21,6.49,82.5,12,Business,0.76,Baled,38.83
Cardboard,284.7,High,Kolkata,Moderate,13.18,6.77,30.3,4,Individual,0.55,Baled,13.17
Aluminum,233.4,Industrial Grade,Pune,Moderate,189.55,10.83,54.0,2,Individual,0.9,Mixed,216.94
Copper,430.7,Low,Mumbai,Moderate,638.94,10.21,5.3,4,Industrial Recycler,0.95,Sorted,561.51
Cardboard,1400.9,High,Coimbatore,Low,13.55,7.98,5.9,6,Municipal Collector,0.38,Mixed,9.51
Glass,170.7,Medium,Chennai,Moderate,8.02,3.1,76.3,7,Business,0.41,Mixed,3.55
Copper,676.2,Industrial Grade,Hyderabad,High,642.55,5.89,62.3,8,Industrial Recycler,0.43,Clean,977.16
Paper,436.6,High,Bengaluru,Low,11.73,7.64,56.3,3,Municipal Collector,0.91,Mixed,6.68
Plastic,331.7,High,Bengaluru,Moderate,32.38,6.31,66.1,7,Business,0.77,Contaminated,21.76
E-waste,235.0,Low,Kolkata,Moderate,116.64,11.29,121.0,8,Municipal Collector,0.84,Clean,94.15
Textile,80.6,Industrial Grade,Coimbatore,High,29.2,8.5,27.6,3,Business,0.47,Contaminated,24.9
Glass,164.5,Industrial Grade,Delhi,Low,8.33,8.32,47.0,8,Business,0.47,Baled,4.9
Steel,970.6,Medium,Mumbai,Moderate,39.97,12.67,40.9,12,Business,0.79,Contaminated,23.64
Copper,81.0,Medium,Hyderabad,Low,701.0,2.5,24.2,2,Individual,0.95,Contaminated,474.31
Textile,1003.6,High,Coimbatore,High,28.6,5.98,64.1,7,Business,0.46,Baled,36.28
Glass,635.2,Industrial Grade,Coimbatore,High,8.57,6.73,21.0,5,Municipal Collector,0.8,Mixed,8.01
Plastic,412.1,Low,Coimbatore,High,33.8,6.18,100.8,1,Business,0.5,Clean,29.09
Other,351.5,High,Ahmedabad,High,15.41,3.45,53.5,6,Industrial Recycler,0.78,Mixed,15.02
Steel,110.6,Low,Surat,Low,40.49,5.1,92.7,9,Industrial Recycler,0.71,Sorted,23.89
Copper,285.3,High,Coimbatore,Low,683.01,13.49,145.4,10,Business,0.44,Contaminated,496.23
E-waste,546.3,High,Mumbai,Low,120.64,11.89,73.8,12,Industrial Recycler,0.41,Clean,129.58
Steel,379.2,Medium,Kolkata,Low,43.46,7.83,134.8,6,Industrial Recycler,0.94,Mixed,28.1
Copper,841.0,Industrial Grade,Bengaluru,Low,628.12,14.58,44.8,10,Business,0.97,Mixed,612.5
Aluminum,791.5,Medium,Bengaluru,Moderate,188.05,6.99,113.9,8,Business,0.58,Mixed,164.35
Paper,132.4,Medium,Surat,High,12.82,2.12,90.9,4,Individual,0.66,Contaminated,6.62
Cardboard,220.4,Low,Mumbai,High,14.08,4.91,22.3,9,Industrial Recycler,0.5,Sorted,10.25
Steel,726.8,Low,Hyderabad,Moderate,40.97,2.02,82.5,4,Business,0.72,Contaminated,19.85
Glass,1071.2,Low,Bengaluru,Low,8.62,5.83,135.3,7,Industrial Recycler,0.74,Clean,3.2
Aluminum,1078.4,Low,Bengaluru,Low,193.79,8.99,145.9,5,Industrial Recycler,0.84,Contaminated,91.67
Other,320.0,High,Surat,Low,14.58,7.75,34.9,9,Industrial Recycler,0.44,Mixed,9.15
Textile,2119.5,Medium,Pune,High,26.57,3.22,135.8,3,Municipal Collector,0.43,Mixed,23.65
Steel,1219.7,Medium,Mumbai,Moderate,44.13,13.51,50.0,1,Individual,0.78,Baled,42.96
